Province/State	Country/Region	Lat	Long	Date	Confirmed	Death	Recovered	Location	Active	Fatality Rate	New Confirmed	New Death	New Recovered
0	Algeria	28	1	2020-01-27	0	0	0	Algeria	0	0.0	0	0	0
0	Algeria	28	1	2020-01-26	0	0	0	Algeria	0	0.0	0	0	0
0	Algeria	28	1	2020-01-25	0	0	0	Algeria	0	0.0	0	0	0
0	Algeria	28	1	2020-01-24	0	0	0	Algeria	0	0.0	0	0	0
0	Algeria	28	1	2020-01-23	0	0	0	Algeria	0	0.0	0	0	0
0	Algeria	28	1	2020-01-22	0	0	0	Algeria	0	0.0	0	0	0
0	Andorra	42	1	2020-04-08	564	23	52	Andorra	489	4.08	19	1	13
0	Andorra	42	1	2020-04-07	545	22	39	Andorra	484	4.04	20	1	8
0	Andorra	42	1	2020-04-06	525	21	31	Andorra	473	4.0	24	3	5
0	Andorra	42	1	2020-04-05	501	18	26	Andorra	457	3.59	35	1	5
0	Andorra	42	1	2020-04-04	466	17	21	Andorra	428	3.65	27	1	5
0	Andorra	42	1	2020-04-03	439	16	16	Andorra	407	3.64	11	1	6
0	Andorra	42	1	2020-04-02	428	15	10	Andorra	403	3.5	38	1	0
0	Andorra	42	1	2020-04-01	390	14	10	Andorra	366	3.59	14	2	0
0	Andorra	42	1	2020-03-31	376	12	10	Andorra	354	3.19	6	4	0
0	Andorra	42	1	2020-03-30	370	8	10	Andorra	352	2.16	36	2	9
0	Andorra	42	1	2020-03-29	334	6	1	Andorra	327	1.8	26	3	0
0	Andorra	42	1	2020-03-28	308	3	1	Andorra	304	0.97	41	0	0
0	Andorra	42	1	2020-03-27	267	3	1	Andorra	263	1.12	43	0	0
0	Andorra	42	1	2020-03-26	224	3	1	Andorra	220	1.34	36	2	0
0	Andorra	42	1	2020-03-25	188	1	1	Andorra	186	0.53	24	0	0
0	Andorra	42	1	2020-03-24	164	1	1	Andorra	162	0.61	31	0	0
0	Andorra	42	1	2020-03-23	133	1	1	Andorra	131	0.75	20	0	0
0	Andorra	42	1	2020-03-22	113	1	1	Andorra	111	0.88	25	1	0
0	Andorra	42	1	2020-03-21	88	0	1	Andorra	87	0.0	13	0	0
0	Andorra	42	1	2020-03-20	75	0	1	Andorra	74	0.0	22	0	0
0	Andorra	42	1	2020-03-19	53	0	1	Andorra	52	0.0	14	0	0
0	Andorra	42	1	2020-03-18	39	0	1	Andorra	38	0.0	0	0	0
0	Andorra	42	1	2020-03-17	39	0	1	Andorra	38	0.0	37	0	0
0	Andorra	42	1	2020-03-16	2	0	1	Andorra	1	0.0	1	0	0
0	Andorra	42	1	2020-03-15	1	0	1	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-03-14	1	0	1	Andorra	0	0.0	0	0	1
0	Andorra	42	1	2020-03-13	1	0	0	Andorra	1	0.0	0	0	-1
0	Andorra	42	1	2020-03-12	1	0	1	Andorra	0	0.0	0	0	1
0	Andorra	42	1	2020-03-11	1	0	0	Andorra	1	0.0	0	0	0
0	Andorra	42	1	2020-03-10	1	0	0	Andorra	1	0.0	0	0	0
0	Andorra	42	1	2020-03-09	1	0	0	Andorra	1	0.0	0	0	0
0	Andorra	42	1	2020-03-08	1	0	0	Andorra	1	0.0	0	0	0
0	Andorra	42	1	2020-03-07	1	0	0	Andorra	1	0.0	0	0	0
0	Andorra	42	1	2020-03-06	1	0	0	Andorra	1	0.0	0	0	0
0	Andorra	42	1	2020-03-05	1	0	0	Andorra	1	0.0	0	0	0
0	Andorra	42	1	2020-03-04	1	0	0	Andorra	1	0.0	0	0	0
0	Andorra	42	1	2020-03-03	1	0	0	Andorra	1	0.0	0	0	0
0	Andorra	42	1	2020-03-02	1	0	0	Andorra	1	0.0	1	0	0
0	Andorra	42	1	2020-03-01	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-02-29	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-02-28	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-02-27	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-02-26	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-02-25	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-02-24	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-02-23	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-02-22	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-02-21	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-02-20	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-02-19	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-02-18	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-02-17	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-02-16	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-02-15	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-02-14	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-02-13	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-02-12	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-02-11	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-02-10	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-02-09	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-02-08	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-02-07	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-02-06	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-02-05	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-02-04	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-02-03	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-02-02	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-02-01	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-01-31	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-01-30	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-01-29	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-01-28	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-01-27	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-01-26	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-01-25	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-01-24	0	0	0	Andorra	0	0.0	0	0	0
0	Andorra	42	1	2020-01-23	0	0	0	Andorra	0	0.0	0	0	0
